排名,学校名称（中文）,学校名称(英文),双一流/985/211,省市,类型,总分,办学层次
1,清华大学,北京,综合,1004.1
2,北京大学,北京,综合,910.5
3,浙江大学,浙江,综合,822.9
4,上海交通大学,上海,综合,778.6
5,复旦大学,上海,综合,712.4
6,南京大学,江苏,综合,676.2
7,中国科学技术大学,安徽,理工,608.6
8,华中科技大学,湖北,综合,606.2
9,武汉大学,湖北,综合,599.1
10,西安交通大学,陕西,综合,572.6
11,中山大学,广东,综合,570.0
12,四川大学,四川,综合,546.9
13,哈尔滨工业大学,黑龙江,理工,544.2
14,北京航空航天大学,北京,理工,543.5
15,东南大学,江苏,综合,532.3
16,北京理工大学,北京,理工,529.3
17,同济大学,上海,综合,527.0
18,中国人民大学,北京,综合,526.3
19,北京师范大学,北京,师范,523.4
20,南开大学,天津,综合,490.4
21,天津大学,天津,理工,480.5
22,山东大学,山东,综合,472.8
23,中南大学,湖南,综合,466.1
24,厦门大学,福建,综合,463.2
25,西北工业大学,陕西,理工,462.0
26,华南理工大学,广东,理工,444.2
27,吉林大学,吉林,综合,439.1
28,电子科技大学,四川,理工,437.0
29,湖南大学,湖南,综合,435.5
30,中国农业大学,北京,农业,432.8
31,华东师范大学,上海,师范,428.2
32,大连理工大学,辽宁,理工,417.4
33,南方科技大学,广东,综合,413.0
34,重庆大学,重庆,综合,397.7
35,北京科技大学,北京,理工,382.8
36,南京理工大学,江苏,理工,381.2
37,南京航空航天大学,江苏,理工,376.6
38,东北大学,辽宁,理工,369.4
39,西安电子科技大学,陕西,理工,363.8
40,兰州大学,甘肃,综合,362.2
40,苏州大学,江苏,综合,362.2
42,华中农业大学,湖北,农业,361.0
43,北京交通大学,北京,理工,346.9
44,华东理工大学,上海,理工,346.1
45,上海科技大学,上海,综合,343.3
46,郑州大学,河南,综合,336.5
47,华中师范大学,湖北,师范,334.2
48,上海大学,上海,综合,333.2
49,哈尔滨工程大学,黑龙江,理工,332.6
50,暨南大学,广东,综合,332.4
51,南京农业大学,江苏,农业,330.7
52,中国石油大学（北京）,北京,理工,330.1
53,东北师范大学,吉林,师范,327.2
54,武汉理工大学,湖北,理工,326.1
55,西南交通大学,四川,理工,325.1
56,中国矿业大学,江苏,理工,324.0
57,北京邮电大学,北京,理工,323.4
58,南京师范大学,江苏,师范,322.7
59,中国地质大学（武汉）,湖北,理工,322.5
60,江南大学,江苏,综合,321.6
61,河海大学,江苏,理工,320.9
62,中国海洋大学,山东,综合,319.8
63,北京工业大学,北京,理工,314.2
64,北京化工大学,北京,理工,309.6
65,西北大学,陕西,综合,306.8
66,中国石油大学（华东）,山东,理工,304.4
67,陕西师范大学,陕西,师范,301.7
68,深圳大学,广东,综合,301.4
69,南昌大学,江西,综合,299.5
70,浙江工业大学,浙江,理工,298.8
71,中国地质大学（北京）,北京,理工,296.0
72,西南大学,重庆,综合,294.5
73,福州大学,福建,理工,290.6
74,西北农林科技大学,陕西,农业,288.1
75,华北电力大学,北京,理工,287.6
76,中国矿业大学（北京）,北京,理工,284.2
77,东华大学,上海,理工,284.0
78,江苏大学,江苏,综合,283.4
79,华南师范大学,广东,师范,281.5
80,云南大学,云南,综合,281.3
81,扬州大学,江苏,综合,279.0
82,北京林业大学,北京,林业,278.8
83,合肥工业大学,安徽,理工,270.4
84,宁波大学,浙江,综合,270.1
85,南京工业大学,江苏,理工,268.5
86,南京邮电大学,江苏,理工,268.2
87,湖南师范大学,湖南,师范,263.5
88,长安大学,陕西,理工,258.5
89,首都师范大学,北京,师范,256.7
90,南京信息工程大学,江苏,理工,255.5
91,杭州电子科技大学,浙江,理工,252.8
92,湘潭大学,湖南,综合,252.4
93,华南农业大学,广东,农业,252.3
94,燕山大学,河北,理工,251.8
95,福建师范大学,福建,师范,250.1
96,广西大学,广西,综合,249.0
97,广州大学,广东,综合,248.8
98,河南大学,河南,综合,248.1
99,大连海事大学,辽宁,综合,246.7
100,浙江师范大学,浙江,师范,246.4
101,广东工业大学,广东,理工,246.1
102,上海理工大学,上海,理工,243.1
103,山西大学,山西,综合,241.3
104,安徽大学,安徽,综合,240.4
105,山东师范大学,山东,师范,237.7
106,河北工业大学,河北,理工,236.8
107,青岛大学,山东,综合,236.6
107,太原理工大学,山西,理工,236.6
109,贵州大学,贵州,综合,235.6
110,南京林业大学,江苏,林业,234.5
111,上海师范大学,上海,师范,232.8
111,武汉科技大学,湖北,理工,232.8
113,内蒙古大学,内蒙古,综合,231.3
114,浙江理工大学,浙江,理工,231.1
115,东北林业大学,黑龙江,林业,228.7
116,福建农林大学,福建,农业,227.5
117,西安理工大学,陕西,理工,227.3
118,海南大学,海南,综合,226.7
119,江西师范大学,江西,师范,223.8
120,东北农业大学,黑龙江,农业,221.1
121,长沙理工大学,湖南,理工,221.0
122,西安建筑科技大学,陕西,理工,220.9
123,湖北大学,湖北,综合,220.7
124,昆明理工大学,云南,理工,219.8
125,江苏师范大学,江苏,师范,213.2
126,山东科技大学,山东,理工,211.4
